编号,分类,器件名,规格/型号,值,封装/尺寸,数量,单位,单价(CNY),总价(CNY),立创商城编号,替代型号,备注

=== 核心 IC ===
U1,MCU,PIC16F1938-I/SO,8位MCU 32MHz 28KB Flash,SOIC-28宽体,SOIC-28W,1,片,18.0,18.0,C11090,PIC16F1939-I/SO,需PICkit烧录
U2,达林顿驱动,ULN2003ADR,7路达林顿阵列,,SOIC-16,1,片,2.0,2.0,C76457,ULN2003AN(DIP-16),COM脚必须接+12V
U3,稳压器,LM7812ACT,12V 1.5A 线性稳压器,,TO-220,1,片,2.0,2.0,C9837,LM7812CV,小型散热片可选
U4,稳压器,78L05,5V 100mA 线性稳压器,,TO-92,1,片,0.8,0.8,C421048,L78L05ACZ,SOT-89贴片版也可

=== 二极管 ===
D1,整流二极管,1N4007,1000V 1A 硅整流,防反接,DO-41,1,只,0.2,0.2,C84568,1N4004,任何1A整流二极管均可
D2,肖特基检波,BAT41,100V 100mA 肖特基,检波,DO-35/SOD-123,2,只,1.0,2.0,C131342,BAT42/1N5711,必须选Vf差<5mV的配对
D3,肖特基检波,BAT41,同上第2只,,DO-35/SOD-123,0,只,0.0,0.0,,,含在D2的2只中

=== 晶体管 ===
Q1,NPN三极管,2N2222A,40V 600mA NPN,蜂鸣器驱动,SOT-23,1,只,0.3,0.3,C19026,BC547/2N3904,蜂鸣器不装可省

=== 高压电容 (全部1812/3KV/C0G/NPO) ===
C1,高压电容,10pF/3KV/NPO,"10 pF ±5%",C0G/NPO,1812,1,只,3.0,3.0,C1710 (KEMET),AVX 1812HA100JAT1A,1KV也可用(本设计余量大)
C2,高压电容,22pF/3KV/NPO,"22 pF ±5%",C0G/NPO,1812,1,只,3.0,3.0,C1711 (估算),AVX 1812HA220JAT1A,如无22pF可用2只10pF并联
C3,高压电容,47pF/3KV/NPO,"47 pF ±5%",C0G/NPO,1812,1,只,3.0,3.0,C1712 (估算),AVX 1812HA470JAT1A,
C4,高压电容,100pF/3KV/NPO,"100 pF ±5%",C0G/NPO,1812,1,只,3.0,3.0,C1702168 (KEMET),AVX 1812HA101KAT1A,
C5,高压电容,220pF/3KV/NPO,"220 pF ±5%",C0G/NPO,1812,1,只,4.0,4.0,AVX 1812HA221KAT1A,,
C6a,高压电容,220pF/3KV/NPO,"220 pF (并联组成470pF)",C0G/NPO,1812,1,只,4.0,4.0,,,C6由220pF+250pF并联→等效470pF
C6b,高压电容,250pF/3KV/NPO,"250 pF (并联组成470pF)",C0G/NPO,1812,1,只,4.0,4.0,,,可用220pF+33pF替代
C7a,高压电容,470pF/3KV/NPO,"470 pF (3只并联→1000pF)",C0G/NPO,1812,1,只,5.0,5.0,,,3只均流分担2.6A谐振环流
C7b,高压电容,470pF/3KV/NPO,"470 pF (3只并联→1000pF)",C0G/NPO,1812,1,只,5.0,5.0,,,
C7c,高压电容,56pF/3KV/NPO,"56 pF (补足1000pF零头)",C0G/NPO,1812,1,只,3.0,3.0,,,可用47+10pF替代
高压电容小计,,,,,10,只,,37.0,,,

=== 继电器 ===
K1-K7,继电器,G5Q-14 DC12,SPDT 10A 12VDC 线圈,欧姆龙,TH 20.3×10.3×15.8mm,7,只,6.0,42.0,C90889,宏发HF32F-G-12-HS(C29203),触点间耐压≥2KV

=== 磁环与线圈 ===
T1_a,磁芯,T200-2,羰基铁粉 μ=10 OD=50.8mm ID=31.8mm HT=14.0mm,Amidon/Micrometals,T200,2,只,30.0,60.0,淘宝,Amidon T200-2,双叠使用增大功率容量
T2,磁芯,FT37-43,Ni-Zn铁氧体 μ=850 OD=9.5mm,SWR定向耦合器,FT37,2,只,3.0,6.0,淘宝,Fair-Rite 5943000201,Tandem Match次级
L_bias,扼流圈,22μH/3A工字电感,22μH 3A DC,CD75贴片工字,CD75,1,只,3.0,3.0,淘宝,FT37-43自绕15-20T漆包线,注意SRF!推荐自绕
,漆包线,0.8mm聚氨酯漆包铜线,0.8mm直径,磁环绕线,2m,1,卷,2.0,2.0,淘宝,,
,漆包线,0.5mm聚氨酯漆包铜线,0.5mm直径,SWR桥次级,1m,1,卷,1.0,1.0,淘宝,,
,RG-58同轴,50Ω同轴电缆,OD≈5mm,SWR桥主线+CMC,0.5m,1,段,2.0,2.0,淘宝,,

=== 普通电阻 (0805/1%贴片) ===
R1,电阻,10KΩ 0805,MCLR上拉,,0805,1,只,0.1,0.1,,,
R2,R3,电阻,10KΩ 0805,SWR检波限流,,0805,2,只,0.1,0.2,,,
